Issue Type,Issue key,Issue id,Summary,Priority,Custom field (Severity SODP),Custom field (Severity of Defect),Status,Reporter,Reporter Id,Parent,Parent key,Parent summary,Labels,Due date,Custom field (Director Prime),Custom field (Director Prime),Assignee,Assignee Id,Custom field (Application ),Custom field (Environments (migrated)),Custom field (Defect Age),Custom field (Defect Age),Created,Resolution,Custom field (Reporter's Team (migrated))
Bug,SODP-14099,1135283,MyTelus Overview API is not returning the Optik 5.0,High,🟠 High,,New,Bhargav.Garlapati,557058:ebac1fdc-09c7-44f8-8f7d-584146c172b1,868762,SODP-12525,Display Optik TV 5.0 on My TELUS Overview,EOG_E2E_GTM,,,,,,,Production,1,,4/14/2026 14:19,,
Experience Defect,GREEN-627,1111336,Creating an Entertainment quote with STB does not automatically add Pro-Install to the quote,High,,🟠 High,New,Amanda Alderman,5a85c445d481603598acd3bf,984283,GREEN-177,Enable customers to purchase internet and tv on Commerce (2P),EOG_E2E_GTM,,,,prateek.maheshwari,712020:cc03e1c0-3194-4d5c-bd7c-8aa842278d19,,,,,3/26/2026 15:16,,Others
